,id,Time,Tweet,prep,cleaned_tweets
0,1.57853e+18,2023-02-13 17:09:44+00:00,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work'
1,49049956.0,2023-02-13 15:34:08+00:00,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'","@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'"," i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... "
2,92341784.0,2023-02-13 13:57:31+00:00,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'","cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'","cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... "
3,1.17943e+18,2023-02-13 11:38:54+00:00,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb',@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb', l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... 
4,856681920.0,2023-02-13 01:57:45+00:00,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;'
5,17979526.0,2023-02-13 00:59:52+00:00,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease'
6,1170795830.0,2023-02-12 17:16:21+00:00,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',rt : disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.'
7,9.27944e+17,2023-02-12 16:52:01+00:00,b'fever and flu starting thursday tonight ; feeling nausea',fever and flu starting thursday tonight ; feeling nausea',fever and flu starting thursday tonight ; feeling nausea'
8,1.58138e+18,2023-02-12 16:06:33+00:00,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?'
9,9.10216e+17,2023-02-12 15:39:09+00:00,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'","also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'","also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc "
