,Cleaned_tweet,Polarity
72,  usually would angry sh take app last time checked fever 'm jus ,-0.25
73, patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis   pa ,0.0
74,the truth ufo fever grip congress politico,0.0
75,patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis ..,0.0
76,  spent valentine 's day huge fever headache fun  ,0.2
77,  burn  ca n't hold now you got nothing stop me i burn  swing want like fever take  ,0.0
78, condo property manager sick day developed persistent fever wks yet choice ,-0.307142857
79,thank lee mergner marvelous wbgo interview new cd   fever peggy lee celebration    ,0.568181818
80,this warned   hemorhagic fever   similar ebola   they talking . stock c ,0.0
81,feeling kaafi sick rn fever killing,-0.714285714
82,mine fever,0.0
83,   illness cause sharp rise absence christmas strep  scarlet fever  well covid  empti ,-0.06875
84,all nephew niece give baby fever,0.0
85,caught baby fever soooooo bad yesterday,-0.7
86,this fever nd school got fuuuuucked rn,0.0
87,today far one toughest day single mother ive running fever day st ,0.014285714
88,eh dont think someone ever loses presidential fever catch path f ,-0.3
89,limits demarest certified self willingness fever intimidation     ax ax ax,0.0
90,still think fever dream,0.0
91,fever inevitable scanner disappointment house react     ,-0.3
92,hi fever feel coming feel,0.0
93,high fever ..,0.16
94,panicking fever dream,0.0
95,nnewi   nnewi still standing peter obi   nnewi added heat untop ladipo fever ,0.0
96,how sleep fever,0.0
97,  people sunset suffering endless fever.  can reverse spell even affected,-0.125
98,thought allergy body huconfirmed fever hopefully flu nap time,0.0
99,craw fever gna knock car,0.0
100,fever dream icb,0.0
101,failed state year corruption n religious fever destroyed nation all.st ,-0.25
102,its cup fever woodland tonight j team div take team div cupmagic giantkilling,0.0
103,gap fever,0.0
104,literally fever dream believe,0.0
105,why still fever   please move sir g. main bowler failed ge ,-0.166666667
106,for everyone fever digital id understand ship sailed later  soylent green ,-0.066666667
107,kinda coughing spell xd mostly try talk fever anything though covid lol,0.65
108,nowplaying top feat dvi psychic fever exile tribe j pop powerplay,0.5
109,im mad cause tf woke fever,-0.625
110,checking in.  i definitely tell im improving fast enough lol fever pagone .,0.25
111,another day another right wing fever dream fueled diatribe gymnasiumjordanisanidiot,0.0
112,fever strike,0.0
113, cabin fever concept trailer cut,0.0
114,did catch fever flying toward moon  sailing space distant shore you kind wonder ca ,0.25
115,severe copium fever,0.0
116,ah yes love fever ray .. song .. thank,0.5
117,sick hell nov dont know covid hour fever heavy sweat chill ,-0.457142857
118,  'fever official mv  ,0.0
119,yeah cough cold like fever day ago negative thought flu similar,-0.3
120,liberal fever dream .   you leftist fruitcake strange bunch,-0.05
121,  disgraceful min justice mao valentine 's fever tagging nation conti   ,0.0
122,waking today fever dream also best valentine day ever,1.0
123,  come love fever mini artist masaturday february th suppoartist like alexia 's stitch shop spe ,0.5
