,id,Time,Tweet
1,1.55064E+18,2023-01-30 16:29:52+00:00,b'RT @8mutualaidmem18: Ive always been immunocomp. Always had asthma.'
2,938851,2023-01-30 16:29:31+00:00,"b'Commenting on winning the competition, Eleanor said: \xe2\x80\x9cI thought of my backpack to help clean the air because some o\xe2\x80\xa6 https://t.co/zCnKApPZ6U'"
3,1.33268E+18,2023-01-30 16:28:44+00:00,b'someone is smoking on the bus i swear that\xe2\x80\x99s illegal what if i had life threatening asthma'
4,1197852392,2023-01-30 16:28:05+00:00,"b'RT @cbcwatcher: ""This is how you end up with climate outfits masquerading as health experts. One frequently cited study from the Rocky Moun\xe2\x80\xa6'"
6,1.01664E+18,2023-01-30 16:27:25+00:00,"b""got lucky and got the asthma gene but i'm so lucky i might also have the migraine gene \xf0\x9f\x98\x82"""
7,1595918306,2023-01-30 16:27:17+00:00,b'Fun fact: Kensington Palace was bought by King William because he was searching for an area better suited for him t\xe2\x80\xa6 https://t.co/gQp4uXvNm4'
8,1.49717E+18,2023-01-30 16:26:37+00:00,b'@aoirthoir It makes them feel like crap. That 10 year old won\xe2\x80\x99t take their steroid shots for debilitating asthma be\xe2\x80\xa6 https://t.co/1H6ycshfV9'
9,8.55331E+17,2023-01-30 16:25:48+00:00,"b'@piersmorgan Join the 1000s of Londoners like you: hayfever, asthma. Solution is easy: reduce cars, ban wood burnin\xe2\x80\xa6 https://t.co/ZHPA2D3d6U'"
10,7.31215E+17,2023-01-30 16:25:42+00:00,b'@YungJoeyPullout @anarchoboognish @Diadelics was sitting in my apartment living room one time when someone just wal\xe2\x80\xa6 https://t.co/5PZsP2yZcd'
11,14398840,2023-01-30 16:25:34+00:00,"b'""This is how you end up with climate outfits masquerading as health experts. One frequently cited study from the Ro\xe2\x80\xa6 https://t.co/Xrxni7h9rq'"
12,1.12573E+18,2023-01-30 16:24:21+00:00,"b'How Chest tightness and Asthma are linked? Learn more about the symptoms, causes, diagnosis, and treatment. #health\xe2\x80\xa6 https://t.co/V85Eg3VIcM'"
14,1.5442E+18,2023-01-30 16:24:00+00:00,b'@Peatches66 Glad you\xe2\x80\x99re home. Wishing you a better day and some good healing slowly. Try to rest as you can I\xe2\x80\x99m sur\xe2\x80\xa6 https://t.co/xXePH0BKih'
15,1.12397E+18,2023-01-30 16:23:04+00:00,b'@wonder_cripple When I was 6 years old I had to go to the emergency room for an asthma attack. They had to put me a\xe2\x80\xa6 https://t.co/mASFDArXkv'
17,4152782833,2023-01-30 16:22:20+00:00,b'Me: what do you mean I might have asthma?? \n\nAlso me: I already can\xe2\x80\x99t see. Now I can\xe2\x80\x99t breathe?? \n\nAlso also me: th\xe2\x80\xa6 https://t.co/BarTDVLCtn'
18,2233962596,2023-01-30 16:21:44+00:00,"b'RT @DebbieRevor: @SabinehazanMD My husband and I, 61 and 66 at the time, did great on ivermectin and immune supplements. I have asthma, He\xe2\x80\xa6'"
19,589676920,2023-01-30 16:21:36+00:00,b'Distracting myself to not mind my asthma'
20,1.566E+18,2023-01-30 16:21:34+00:00,b'@SahanaKorlahal1 Warmup helps ...also this may happen if one is recovering from a bout of cough/cold .. if the symp\xe2\x80\xa6 https://t.co/HNpqEVviQg'
21,580321378,2023-01-30 16:21:13+00:00,b'my cats on steroids for his asthma and i just wanna say roid rage is a real fucking thing\xf0\x9f\x98\xad i get attacked for looking at him wrong'
23,1.22474E+18,2023-01-30 16:20:31+00:00,"b'@FemkeLVJY ""Your city gave me asthma"" if someone goes back in time and moves a rock'"
24,6323932,2023-01-30 16:20:29+00:00,b'RT @Tinu: On MLK before my volunteer activity the kids had to see me break down w/o other adults around. \n\nThe oldest had an asthma +allerg\xe2\x80\xa6'
25,622932425,2023-01-30 16:19:39+00:00,b'@How2Drink ESPECIALLY in really public settings. It can cause real issues for people with various medical condition\xe2\x80\xa6 https://t.co/gw3bXU3osp'
26,7.01148E+17,2023-01-30 16:18:17+00:00,"b'@LeahMesser Leah I feel so connected to you although you are so much younger, I am a twin boy mommy. Both boys are\xe2\x80\xa6 https://t.co/Hn0IykoYhe'"
27,1.27554E+18,2023-01-30 16:18:09+00:00,"b""@piersmorgan You've got asthma, mate...."""
28,1.56777E+18,2023-01-30 16:17:37+00:00,"b'hours,days of annoyances for any tennant ,and the Corona triggers asthma ,fine particulant very bad. also smells ,not pretty.'"
30,172118464,2023-01-30 16:16:44+00:00,"b""@DJShenny Bold of you to think that my horse with asthma like breathing can't defeat your puny noise gate. \n\nAlso I\xe2\x80\xa6 https://t.co/LFktF7fcyk"""
32,1.04112E+18,2023-01-30 16:15:44+00:00,b'@Java_jigga Maybe not a complete lockdown but my area was fucked. Mom has severe asthma and had to work her job + o\xe2\x80\xa6 https://t.co/3P3oU5WbtP'
33,1.30016E+18,2023-01-30 16:15:39+00:00,b'@Lytswtf Ok so you do sports it could be asthma  or something else bad'
35,1.31849E+18,2023-01-30 16:15:11+00:00,b'@GodsDawta1 Would\xe2\x80\x99ve love to be one but i no get asthma \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9'
37,601508693,2023-01-30 16:14:01+00:00,b'NIH Study Links Specific Outdoor Air Pollutants to Asthma Attacks in Urban Children\nResearchers Focused on Asthma A\xe2\x80\xa6 https://t.co/BGjVgMgDoP'
39,8.26869E+17,2023-01-30 16:13:43+00:00,b'I opted to put heating on this winter as I have chronic illnesses including asthma and emphysema which mean I need\xe2\x80\xa6 https://t.co/ljJjXBgc2N'
40,1651280924,2023-01-30 16:13:13+00:00,b'The simplest and easiest way to breathe easier at home: \n\nhttps://t.co/5gcexp6Jtd\n\n#blog #blogpost #home\xe2\x80\xa6 https://t.co/bZYzjYaQx9'
41,21676274,2023-01-30 16:12:43+00:00,b'Adults with asthma experience more nonrespiratory diseases than those without asthma https://t.co/IFRDHI1nff'
42,21676274,2023-01-30 16:12:02+00:00,"b'""Breathe Sweden"" platform enhances collaborations in asthma, allergy, and respiratory research #asthma #allergy \nhttps://t.co/wkDlolrwMK'"
44,1.48328E+18,2023-01-30 16:11:05+00:00,b'@Viytic Asthma?'
46,1.35894E+18,2023-01-30 16:09:40+00:00,b'Wait till he learns how many people die from entirely preventable asthma attacks'
49,1155926814,2023-01-30 16:09:21+00:00,"b""@Jim_Jordan Do you not understand that they want to have safer gas stoves? I guess you don't care about children's\xe2\x80\xa6 https://t.co/zVSuMZoyL1"""
50,1.60352E+18,2023-01-30 16:09:07+00:00,b'@sxnflovverharry @allouisharry besides the kisses they smoked? in a minivan? with harry suffering from asthma?'
52,14224906,2023-01-30 16:05:59+00:00,"b'RT @0jhl: How about this @piersmorgan... PM announces 5,000 new beds for @NHSEngland today and yet we have 3,500 young people a year admitt\xe2\x80\xa6'"
53,1.34483E+18,2023-01-30 16:05:20+00:00,b'@tiggs111 @TheRickWilson This from someone who worships the guy with magical disappearing asthma.'
54,293126109,2023-01-30 16:05:11+00:00,"b'https://t.co/hU3taabqqI\nWell, he wasn\'t ""healthy"" (asthma) and she made a terrible mistake not calling 911, but yes\xe2\x80\xa6 https://t.co/LeDkSMnV1l'"
57,1.48767E+18,2023-01-30 16:04:21+00:00,b'Pointers For Living Well Even Though You Have Asthma https://t.co/YDvNKWNNfm'
58,3709542148,2023-01-30 16:03:31+00:00,"b'this is gonna be a weird turn but honestly my new asthma meds are what saved the day last night, i would have been\xe2\x80\xa6 https://t.co/Pw1ENR8Q5R'"
59,7.37982E+17,2023-01-30 16:03:28+00:00,"b'People with COPD or asthma, should ensure to take any medication regularly.\nDr Aashish Vyas, a Respiratory Consulta\xe2\x80\xa6 https://t.co/1zWiyKafZW'"
60,1.47957E+18,2023-01-30 16:03:18+00:00,"b'Meet Oscar -- one of the #CleanAir kids fighting hard for a safe &amp; livable future! Oscar has #asthma, so he knows f\xe2\x80\xa6 https://t.co/zPTtGkKhX2'"
61,4282564452,2023-01-30 16:02:01+00:00,"b""The Ultimate Checklist for Buying a Commercial Air Purifier\n\n#FreshCleanAir \xe2\x80\x94 we need it to live. If you don't have\xe2\x80\xa6 https://t.co/H1Jop7v5Ig"""
62,1.48084E+18,2023-01-30 16:00:58+00:00,b'Some doctors have differing opinions on the definition of severe asthma. Severe asthma attacks can lead to\xe2\x80\xa6 https://t.co/3UD7Yzw5S4'
63,19764005,2023-01-30 16:00:46+00:00,b'@Jenn7_4 We got over one the first week of Jan. now we have a new one. I am wondering about making an appointment at the Asthma clinic.'
64,1.59305E+18,2023-01-30 16:00:31+00:00,b'I am going to emergency room for asthma. Yippee'
