,Unnamed: 0,id,Time,Tweet,Flag,Tags
0,0,1590057131499307008,2023-02-14 10:27:56+00:00,b'@stqrkkura anemia.',0,NIL
1,1,1396131266207100931,2023-02-14 10:27:43+00:00,b'@GRozzana Chama creo que lo mio puede ser anemia porque me ha pasado antes \xf0\x9f\x98\xa2',0,NIL
2,2,1431251001198067724,2023-02-14 10:23:57+00:00,"b'@jenhoonieee Heheheehehehehehheheeheeee ,,,, klaw mag si egx tpi kalau,, asam lambung sm anemia ada ,,. Nder \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97'",0,NIL
3,3,1424407901159006215,2023-02-14 10:20:45+00:00,"b'A 51 year old gentleman presented with severe fatigue and shortness of breath, was found to have anemia, generalize\xe2\x80\xa6 https://t.co/cdf9LnFfQE'",0,NIL
4,4,1571175125999030272,2023-02-14 10:20:18+00:00,"b""@tuffimitten @agenetics1 Don't remember the exact unit but the normal level was 200, and mine was like 30-40. Since\xe2\x80\xa6 https://t.co/bpDJjkCS2C""",0,NIL
5,5,1394926999777554432,2023-02-14 10:20:08+00:00,b'Anemia Explained Simply https://t.co/rVZwMdA69n via @YouTube \nbe healthy',0,NIL
6,6,426492179,2023-02-14 10:18:34+00:00,b'\xe3\x80\x90\xe8\xa1\x80\xe6\xb6\xb2\xe3\x80\x91\xe6\xba\xb6\xe8\xa1\x80\xe6\x80\xa7\xe8\xb2\xa7\xe8\xa1\x80\xef\xbc\x88hemolytic anemia\xef\xbc\x89\xe2\x86\x92\xe8\xb5\xa4\xe8\xa1\x80\xe7\x90\x83\xe7\xa0\xb4\xe5\xa3\x8a\xe3\x81\x8c\xe4\xba\xa2\xe9\x80\xb2\xe3\x81\x97\xe3\x80\x81\xe7\x94\x9f\xe7\x94\xa3\xe3\x81\x8c\xe8\xbf\xbd\xe3\x81\x84\xe3\x81\xa4\xe3\x81\x8b\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x9f\xe3\x82\x81\xe3\x81\xab\xe7\x94\x9f\xe3\x81\x98\xe3\x82\x8b\xe8\xb2\xa7\xe8\xa1\x80\xe3\x80\x82\xe6\xba\xb6\xe8\xa1\x80\xe9\x83\xa8\xe4\xbd\x8d\xe3\x81\xab\xe3\x82\x88\xe3\x82\x8a\xe8\xa1\x80\xe7\xae\xa1\xe5\x86\x85\xe6\xba\xb6\xe8\xa1\x80\xe3\x80\x81\xe8\xa1\x80\xe7\xae\xa1\xe5\xa4\x96\xe6\xba\xb6\xe8\xa1\x80\xe3\x81\xab\xe5\x88\x86\xe3\x81\x91\xe3\x82\x89\xe3\x82\x8c\xe3\x82\x8b\xe3\x80\x82',0,NIL
7,7,1519098230713520128,2023-02-14 10:15:42+00:00,"b'RT @73BNCRPF: ""An example of Humanity""A Child Md.Anas age 9 year,suffering from Anemia admitted in ICU,Children Hospital Bemina was in urge\xe2\x80\xa6'",0,NIL
8,8,407744893,2023-02-14 10:10:05+00:00,b'@GiveBloodNHS I have pernicious anemia and get b12 injections every month. I also take antihistamines everyday for allergies. Can I donate?',0,NIL
9,9,1240088810152738818,2023-02-14 10:01:56+00:00,b'Se me podr\xc3\xa1 estar empezando a bajar la presi\xc3\xb3n por la anemia y mala noche pero aqu\xc3\xad sigo fiel y firmemente esperand\xe2\x80\xa6 https://t.co/TCPGtjtDMf',0,NIL
10,10,1399970898086490113,2023-02-14 10:00:58+00:00,b'Awareness programme under Anaemia Mukt Bharat campaign organised by CMO Doda and BMO Assar at HWC-SC Malhori on 14.\xe2\x80\xa6 https://t.co/e5DeM6AJt1',0,NIL
11,11,2857992046,2023-02-14 10:00:43+00:00,b'@Balas_D_Chicle @dlacalle el a\xc3\xb1o pasado perd\xc3\xad a mi t\xc3\xado por un c\xc3\xa1ncer muy agresivo; lo derivaron durante 1 a\xc3\xb1o y med\xe2\x80\xa6 https://t.co/ZyvxXzjWo5',0,NIL
12,12,1257062185462874113,2023-02-14 10:00:09+00:00,b'sisi a este truco lo llamo anemia',0,NIL
13,13,1236723728358215682,2023-02-14 09:56:12+00:00,b'dps q eu morrer cair dura de anemia n posso reclamar',0,NIL
14,14,1053140562134556672,2023-02-14 09:55:47+00:00,"b'#HemoglobinTestingDevices Market is poised to secure over 5% CAGR up to 2025, owing to rising prevalence of #anemia\xe2\x80\xa6 https://t.co/786f2K3qS2'",0,NIL
15,15,107206519,2023-02-14 09:54:32+00:00,"b""RT @ironmum62: Thank you @HealthwatchE  for listening. First organisation to try to help me get my daughter's chronic symptoms of  anemia s\xe2\x80\xa6""",0,NIL
16,16,2469697009,2023-02-14 09:53:55+00:00,"b'RT @ArtritisyReuma: #Alimentaci\xc3\xb3nyEjercicio | Enfermedades autoinmunitarias, como la artritis reumatoide o lupus, pueden alterar los nivele\xe2\x80\xa6'",1, lupus
17,17,188088539,2023-02-14 09:46:04+00:00,b'se eu tiver sono hj \xc3\xa9 anemia https://t.co/GxDBFKY7P1',0,NIL
18,18,3277348003,2023-02-14 09:44:30+00:00,b'More than half a million adults in the U.S. suffer from chronic kidney disease requiring dialysis. The U.S. #FDA ap\xe2\x80\xa6 https://t.co/Vtes2dCQDg',1,disease
19,19,1474347268195041283,2023-02-14 09:41:15+00:00,b'@coffelovers23 Km udh periksa? Takutnya anemia habis mimisan. Krn pendarahan krn mimisan biasanya ga lama',0,NIL
20,20,4197165034,2023-02-14 09:39:22+00:00,b'@marycarvalho_07 anemia',0,NIL
21,21,1569944506362990595,2023-02-14 09:39:04+00:00,b'No pude \xf0\x9f\x98\x9e\n#sangre #donar #no #se #pudo #anemia',0,NIL
22,22,1280605769612832769,2023-02-14 09:38:48+00:00,b'@Palm91824369 @mopinre Every anemia can kill \xf0\x9f\x93\x8c',0,NIL
23,23,218490436,2023-02-14 09:35:18+00:00,b'La anemia ferrop\xc3\xa9nica ocurre cuando el cuerpo no tiene suficiente cantidad hierro. El hierro ayuda a producir gl\xc3\xb3bu\xe2\x80\xa6 https://t.co/5sJXit6zhm',0,NIL
